rm -f ./bench_ticks
g++ bench_ticks.cpp matrixTransformG2_SIMD.asm matrixTransformG3_SIMD.asm matrixTransformG5_SIMD.asm -o ./bench_ticks
./bench_ticks
NAME	ITEMS	TICKS	TICKS_PER_ITEMS
matrixTransformG2_SIMD	480	118	0.245833
matrixTransformG5_SIMD	480	463	0.964583
matrixTransformG3_SIMD	480	323	0.672917
matrixTransformG2_SIMD	5280	1766	0.334470
matrixTransformG5_SIMD	5280	5241	0.992614
matrixTransformG3_SIMD	5280	3589	0.679735
matrixTransformG2_SIMD	10080	3347	0.332044
matrixTransformG5_SIMD	10080	9785	0.970734
matrixTransformG3_SIMD	10080	6841	0.678671
matrixTransformG2_SIMD	14880	4915	0.330309
matrixTransformG5_SIMD	14880	14916	1.002419
matrixTransformG3_SIMD	14880	11782	0.791801
matrixTransformG2_SIMD	19680	7697	0.391108
matrixTransformG5_SIMD	19680	22712	1.154065
matrixTransformG3_SIMD	19680	13287	0.675152
matrixTransformG2_SIMD	24480	7833	0.319975
matrixTransformG5_SIMD	24480	23783	0.971528
matrixTransformG3_SIMD	24480	16767	0.684926
matrixTransformG2_SIMD	29280	9415	0.321551
matrixTransformG5_SIMD	29280	28387	0.969501
matrixTransformG3_SIMD	29280	19778	0.675478
matrixTransformG2_SIMD	34080	12887	0.378140
matrixTransformG5_SIMD	34080	34531	1.013234
matrixTransformG3_SIMD	34080	23883	0.700792
matrixTransformG2_SIMD	38880	19439	0.499974
matrixTransformG5_SIMD	38880	38026	0.978035
matrixTransformG3_SIMD	38880	27166	0.698714
matrixTransformG2_SIMD	43680	23578	0.539789
matrixTransformG5_SIMD	43680	43209	0.989217
matrixTransformG3_SIMD	43680	30900	0.707418
matrixTransformG2_SIMD	48480	27386	0.564893
matrixTransformG5_SIMD	48480	49117	1.013139
matrixTransformG3_SIMD	48480	37884	0.781436
matrixTransformG2_SIMD	53280	31840	0.597598
matrixTransformG5_SIMD	53280	57728	1.083483
matrixTransformG3_SIMD	53280	38088	0.714865
matrixTransformG2_SIMD	58080	32243	0.555148
matrixTransformG5_SIMD	58080	58931	1.014652
matrixTransformG3_SIMD	58080	43953	0.756767
matrixTransformG2_SIMD	62880	35635	0.566714
matrixTransformG5_SIMD	62880	62702	0.997169
matrixTransformG3_SIMD	62880	45859	0.729310
matrixTransformG2_SIMD	67680	38594	0.570242
matrixTransformG5_SIMD	67680	68787	1.016356
matrixTransformG3_SIMD	67680	47853	0.707048
