rm -f ./bench_ticks
g++ bench_ticks.cpp matrixTransformG2_unpack.s matrixTransformG3_SIMD.s matrixTransformG5_SIMD.s -o ./bench_ticks
./bench_ticks
NAME	ITEMS	TICKS	TICKS_PER_ITEMS
matrixTransformG2_unpack	480	35	0.072917
matrixTransformG5_SIMD	480	311	0.647917
matrixTransformG3_SIMD	480	305	0.635417
matrixTransformG2_unpack	5280	1700	0.321970
matrixTransformG5_SIMD	5280	3373	0.638826
matrixTransformG3_SIMD	5280	3372	0.638636
matrixTransformG2_unpack	10080	3252	0.322619
matrixTransformG5_SIMD	10080	6496	0.644444
matrixTransformG3_SIMD	10080	6338	0.628770
matrixTransformG2_unpack	14880	4777	0.321035
matrixTransformG5_SIMD	14880	9620	0.646505
matrixTransformG3_SIMD	14880	9345	0.628024
matrixTransformG2_unpack	19680	6306	0.320427
matrixTransformG5_SIMD	19680	12532	0.636789
matrixTransformG3_SIMD	19680	12384	0.629268
matrixTransformG2_unpack	24480	7806	0.318873
matrixTransformG5_SIMD	24480	15652	0.639379
matrixTransformG3_SIMD	24480	15718	0.642075
matrixTransformG2_unpack	29280	9354	0.319467
matrixTransformG5_SIMD	29280	18647	0.636851
matrixTransformG3_SIMD	29280	18428	0.629372
matrixTransformG2_unpack	34080	12157	0.356719
matrixTransformG5_SIMD	34080	22515	0.660651
matrixTransformG3_SIMD	34080	22134	0.649472
matrixTransformG2_unpack	38880	18848	0.484774
matrixTransformG5_SIMD	38880	27387	0.704398
matrixTransformG3_SIMD	38880	26620	0.684671
matrixTransformG2_unpack	43680	23833	0.545627
matrixTransformG5_SIMD	43680	31263	0.715728
matrixTransformG3_SIMD	43680	30208	0.691575
matrixTransformG2_unpack	48480	26664	0.550000
matrixTransformG5_SIMD	48480	34711	0.715986
matrixTransformG3_SIMD	48480	33577	0.692595
matrixTransformG2_unpack	53280	29631	0.556137
matrixTransformG5_SIMD	53280	37962	0.712500
matrixTransformG3_SIMD	53280	37020	0.694820
matrixTransformG2_unpack	58080	31906	0.549346
matrixTransformG5_SIMD	58080	41363	0.712173
matrixTransformG3_SIMD	58080	40141	0.691133
matrixTransformG2_unpack	62880	34588	0.550064
matrixTransformG5_SIMD	62880	44782	0.712182
matrixTransformG3_SIMD	62880	43623	0.693750
matrixTransformG2_unpack	67680	37759	0.557905
matrixTransformG5_SIMD	67680	48332	0.714125
matrixTransformG3_SIMD	67680	47065	0.695405
